,gpu_usage,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,elapsed_time
26,0.0,15.0,16.0,15.0,10.0,8.0,2.0,2.0,100.0,56.531,60.406,60.875,7849.0,2688.0,0.46173603755671744,26.131229877471924
27,0.0,9.0,12.0,6.0,18.0,3.0,2.0,3.0,100.0,56.875,60.625,61.0,7769.0,2608.0,0.4618313515752388,27.12803292274475
28,0.0,13.0,10.0,16.0,17.0,8.0,4.0,5.0,100.0,56.5,60.406,61.187,7769.0,2608.0,0.4620783695813544,28.13118815422058
29,0.0,20.0,63.0,10.0,9.0,8.0,3.0,10.0,32.0,56.718,59.843,60.968,7890.0,2608.0,0.46022972674568746,29.132622718811035
30,0.0,8.0,66.0,4.0,4.0,47.0,8.0,12.0,20.0,56.718,60.656,61.187,7970.0,2648.0,0.46036970361581964,30.141646146774292
31,0.0,13.0,16.0,8.0,14.0,100.0,2.0,5.0,2.0,56.562,60.468,61.187,7890.0,2568.0,0.46036945410268215,31.13781237602234
32,0.0,10.0,8.0,29.0,5.0,100.0,4.0,8.0,3.0,56.812,60.531,61.156,7930.0,2608.0,0.46040812863899316,32.141420125961304
33,4.9,15.0,10.0,5.0,11.0,100.0,9.0,10.0,6.0,56.625,60.406,61.125,7930.0,2608.0,0.46017208921092717,33.136263847351074
34,0.0,18.0,13.0,7.0,4.0,100.0,4.0,10.0,6.0,56.875,59.968,61.125,7890.0,2287.0,0.45997971458192205,34.14610719680786
35,0.0,19.0,12.0,7.0,18.0,100.0,2.0,4.0,5.0,56.687,60.281,61.093,7729.0,2250.0,0.4601401515293284,35.145734786987305
36,24.7,77.0,16.0,15.0,8.0,36.0,3.0,5.0,10.0,56.812,60.343,61.125,7930.0,2568.0,0.4610758257949177,36.148770809173584
37,0.0,100.0,13.0,7.0,3.0,14.0,14.0,8.0,10.0,56.968,60.062,61.156,8010.0,2287.0,0.7372871185100074,37.137834310531616
38,0.0,99.0,7.0,4.0,11.0,9.0,10.0,19.0,10.0,56.75,60.25,61.062,7890.0,2568.0,0.7459826513515503,38.16317129135132
39,23.5,19.0,38.0,19.0,64.0,31.0,21.0,31.0,31.0,56.937,60.406,61.125,8574.0,2929.0,0.7850858512327821,39.143311500549316
40,97.9,63.0,54.0,53.0,61.0,60.0,52.0,61.0,89.0,57.687,61.25,61.375,10570.0,4680.0,0.8017870130907068,40.162651777267456
41,99.9,100.0,14.0,19.0,24.0,19.0,35.0,18.0,27.0,61.062,61.093,61.562,15544.0,8757.0,0.8048385587622152,41.157227754592896
42,16.4,96.0,8.0,9.0,0.0,15.0,30.0,8.0,29.0,58.812,60.843,61.812,14903.0,8319.0,0.8076383456779959,42.16806125640869
43,70.4,35.0,22.0,39.0,26.0,8.0,26.0,54.0,69.0,57.937,61.343,61.843,10530.0,4246.0,0.8217800017715433,43.17371964454651
44,67.1,65.0,58.0,57.0,46.0,49.0,45.0,48.0,49.0,58.093,60.937,61.843,10610.0,3926.0,0.8266544904255572,44.17013669013977
45,89.4,65.0,59.0,55.0,52.0,48.0,60.0,56.0,52.0,58.843,60.968,61.75,12439.0,5351.0,0.8272386006804223,45.184653759002686
46,92.0,50.0,62.0,47.0,47.0,46.0,46.0,40.0,45.0,58.937,61.718,61.937,12921.0,5191.0,0.8273049711749948,46.16629767417908
47,70.4,42.0,51.0,49.0,53.0,37.0,37.0,47.0,34.0,59.281,61.468,62.031,13041.0,5471.0,0.8271627486866252,47.14868426322937
48,90.5,37.0,45.0,38.0,50.0,40.0,42.0,38.0,36.0,59.0,61.468,62.062,11958.0,4600.0,0.8275123165922493,48.18344187736511
49,35.6,51.0,46.0,44.0,39.0,39.0,37.0,59.0,43.0,59.406,61.656,62.093,12118.0,5000.0,0.8270616958659416,49.142682790756226
50,99.8,45.0,45.0,36.0,42.0,55.0,42.0,43.0,41.0,59.5,61.625,62.187,12800.0,5311.0,0.8263221389264198,50.195685386657715
51,60.3,37.0,37.0,37.0,41.0,33.0,40.0,49.0,48.0,59.718,61.625,62.25,12359.0,4920.0,0.8272448385088595,51.15516424179077
52,19.0,48.0,43.0,43.0,49.0,41.0,34.0,35.0,43.0,59.062,61.5,62.218,11677.0,4680.0,0.8272218833002105,52.16432452201843
53,8.6,42.0,42.0,41.0,63.0,45.0,41.0,52.0,42.0,58.843,61.687,62.343,11958.0,4640.0,0.8267023969479553,53.199527978897095
54,76.3,42.0,36.0,39.0,36.0,58.0,56.0,35.0,37.0,59.218,61.812,62.343,11516.0,4440.0,0.8272625539416214,54.23230266571045
55,39.5,52.0,41.0,39.0,56.0,39.0,39.0,53.0,38.0,59.312,61.75,62.468,11516.0,4600.0,0.826110052759553,55.22266483306885
56,64.4,38.0,43.0,34.0,40.0,35.0,64.0,32.0,33.0,59.562,62.125,62.625,11958.0,4760.0,0.826748556878391,56.19784164428711
57,74.6,52.0,44.0,48.0,40.0,57.0,44.0,46.0,43.0,59.687,61.718,62.437,11516.0,4760.0,0.8271929397762615,57.22963070869446
58,78.7,54.0,45.0,53.0,41.0,52.0,52.0,46.0,50.0,59.843,62.0,62.593,12279.0,5151.0,0.8269419295599462,58.18199563026428
59,84.7,42.0,45.0,41.0,50.0,45.0,47.0,37.0,41.0,59.687,62.343,62.625,12921.0,5151.0,0.8270694307732038,59.197941303253174
60,85.7,38.0,40.0,40.0,32.0,46.0,50.0,35.0,36.0,60.062,62.343,62.875,12279.0,4800.0,0.8253959461600552,60.22367525100708
61,67.8,55.0,54.0,57.0,61.0,56.0,63.0,63.0,54.0,59.625,62.093,62.718,11476.0,4640.0,0.8263867628290299,61.30874419212341
62,68.9,46.0,52.0,41.0,46.0,48.0,40.0,50.0,41.0,60.062,62.718,62.843,13282.0,5630.0,0.8265187552787623,62.18553638458252
63,84.8,45.0,38.0,38.0,39.0,51.0,36.0,52.0,39.0,60.062,62.687,63.125,12840.0,5031.0,0.8266412662292701,63.210002422332764
64,33.0,49.0,59.0,50.0,48.0,60.0,48.0,55.0,52.0,60.437,62.906,63.218,13822.0,5870.0,0.826620307125721,64.20785140991211
65,70.2,46.0,43.0,46.0,47.0,50.0,58.0,47.0,60.0,60.75,62.812,63.125,12519.0,5271.0,0.8276677632769059,65.20386552810669
