,gpu_usage,cpu_usage_avg,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,SWAP,elapsed_time
40,0.0,24.375,59.406,62.656,63.562,8252.0,2327.0,0.5885451585336187,0.6050099384808394,40.17194414138794
41,0.0,24.625,59.656,63.062,63.593,8534.0,2768.0,0.5887362846431669,0.6050099384808394,41.182018756866455
42,0.0,25.5,59.375,62.687,63.625,8171.0,2287.0,0.6474092556436472,0.6050099384808394,42.18423414230347
43,0.0,37.375,59.625,63.125,63.593,9324.0,3124.0,0.7899047488350913,0.6050099384808394,43.168473958969116
44,0.0,25.375,59.593,63.062,63.781,8453.0,2728.0,0.865305496123209,0.6050099384808394,44.175071001052856
45,27.7,38.5,59.375,62.843,63.593,8534.0,2447.0,0.8366705133083405,0.6049946796881389,45.187922954559326
46,0.0,35.125,59.468,63.218,63.812,8775.0,2929.0,0.8129733708432878,0.6049946796881389,46.18801164627075
47,0.0,33.5,59.562,62.906,63.718,9646.0,3245.0,0.8259073188075826,0.6049946796881389,47.19586944580078
48,1.6,68.625,59.593,63.312,63.781,9404.0,3525.0,0.8468777953129191,0.6049794208954384,48.1960928440094
49,0.0,43.0,59.875,63.625,63.75,9445.0,3485.0,0.9305119360251508,0.6096707843949281,49.27917122840881
50,87.9,40.25,62.406,63.437,63.843,15224.0,7603.0,0.9150486860079968,0.6183961912146071,50.20122218132019
51,3.6,31.5,62.312,64.343,64.187,18040.0,7273.0,0.9175435554197102,0.6183961912146071,51.208553314208984
52,99.2,32.75,62.593,63.906,64.437,16960.0,7829.0,0.9168940759638956,0.6183809324219066,52.19307279586792
53,98.4,31.875,63.156,64.718,64.718,19888.0,8531.0,0.9231343683918335,0.6183809324219066,53.20147252082825
54,99.6,25.0,63.468,64.468,64.593,17800.0,8147.0,0.9247883827262917,0.6183656736292061,54.19902515411377
55,78.6,25.375,64.25,65.0,65.0,18809.0,8967.0,0.8588748261214,0.6183656736292061,55.19590878486633
56,99.8,20.625,64.156,64.5,65.125,17320.0,8544.0,0.8626649117663571,0.6183656736292061,56.21859622001648
57,99.9,18.0,64.25,64.312,65.187,17680.0,9379.0,0.8631694248127101,0.6183656736292061,57.23995661735535
58,97.4,19.25,64.25,64.062,65.187,15144.0,8518.0,0.8629985091664432,0.6183656736292061,58.250826358795166
59,99.8,38.125,62.218,64.156,65.093,11757.0,4840.0,0.863852338862101,0.6183504148365057,59.255903005599976
60,0.0,37.625,61.468,64.531,64.937,9485.0,3325.0,0.920608309993575,0.6183504148365057,60.21196508407593
61,0.0,38.125,61.437,64.187,65.0,9284.0,3285.0,0.9632795843131873,0.6256319583969017,61.28243851661682
62,0.0,55.0,60.843,64.406,64.937,8775.0,2889.0,0.9670746601959916,0.6525854236091193,63.03093218803406
63,0.0,63.125,61.0,64.625,64.906,9163.0,3170.0,0.9680447624334895,0.6777121252327264,63.41436195373535
64,0.0,77.375,60.906,64.187,64.812,9203.0,3285.0,0.968727426970988,0.7292687247440158,67.31571531295776
65,0.0,6.875,60.843,65.218,65.281,10007.0,3966.0,0.9686880040919951,0.7952680099649453,68.7170238494873
66,13.6,81.5,61.062,65.187,65.187,11052.0,4840.0,0.932071135840512,0.8069865243402777,69.17857384681702
67,99.8,81.25,62.718,65.5,65.5,16400.0,8823.0,0.9655673588542414,0.8122143297706437,70.32268834114075
68,0.0,61.375,61.687,64.812,65.25,11133.0,4600.0,0.969692788482531,0.8136610540535579,71.52679944038391
69,0.0,71.75,61.218,65.312,65.5,10731.0,4640.0,0.9645942624740351,0.833816011861804,72.37171626091003
70,99.6,70.125,63.281,65.718,65.625,16680.0,8783.0,0.9459522309482076,0.8337092003129006,73.39214873313904
71,0.0,56.125,61.937,65.625,65.687,12881.0,6070.0,0.9451849818791989,0.8336939415202002,74.24071621894836
72,0.0,47.25,61.875,65.656,65.562,10771.0,4560.0,0.9657604810589284,0.834786614128736,75.48402333259583
73,99.8,60.875,63.187,65.812,65.562,16080.0,8280.0,0.9441607355610587,0.834786614128736,76.51063084602356
74,0.0,57.75,62.218,65.468,65.718,13001.0,6110.0,0.9431619394559393,0.834786614128736,77.34350538253784
75,0.0,56.125,61.937,65.875,66.125,11356.0,4960.0,0.9652133014789818,0.8357779588169953,78.20512199401855
76,99.8,63.5,63.031,65.062,65.625,13661.0,6020.0,0.9435214860928309,0.8357812966778986,79.61866664886475
77,0.0,42.875,62.437,65.968,66.062,13242.0,6269.0,0.9443972728350165,0.8357507790924976,80.3038547039032
78,0.0,63.0,62.0,65.468,65.75,10490.0,4400.0,0.9628349541210008,0.8374342530809052,81.69969081878662
79,99.8,73.0,64.25,66.375,66.218,19049.0,10316.0,0.9451313368223413,0.8374342530809052,82.23383212089539
80,0.2,42.75,62.531,66.25,66.25,13661.0,6618.0,0.9448616144666995,0.8374189942882048,83.32608199119568
81,0.0,75.125,62.093,66.375,66.281,11476.0,5200.0,0.9628451841085875,0.8417789558837309,84.44150924682617
82,99.8,74.25,64.031,66.343,66.343,17840.0,8862.0,0.9452478588760737,0.8394138430151565,85.38697385787964
83,0.0,45.25,62.781,66.312,66.156,13442.0,6269.0,0.9460762383587108,0.8390171144049441,86.29568099975586
84,0.0,49.75,62.531,66.343,66.406,10490.0,4326.0,0.9611849319768203,0.844370328037817,87.5198917388916
85,99.8,69.625,64.093,66.468,66.656,16800.0,8664.0,0.9433460792325015,0.844370328037817,88.39403009414673
86,0.0,47.0,62.687,66.062,66.343,11476.0,4800.0,0.9455160841603613,0.8443550692451165,89.5582287311554
87,99.8,45.875,63.812,66.406,66.843,13202.0,6269.0,0.94004703299171,0.8465754620016722,90.4110758304596
88,99.8,48.625,63.343,65.75,66.468,12239.0,4992.0,0.9419577950634072,0.8465754620016722,91.82737493515015
89,0.0,42.625,62.75,66.468,66.687,11757.0,4800.0,0.9449259885349286,0.8465907207943727,92.28330945968628
90,0.0,50.0,62.437,66.187,66.218,10048.0,4086.0,0.9596691472307299,0.8521527891523335,93.37132692337036
91,99.5,78.25,64.281,66.718,66.625,18450.0,9681.0,0.9399794152688803,0.852137530359633,94.30224657058716
92,0.0,48.625,62.937,66.781,66.781,12840.0,6150.0,0.9389282216663651,0.852137530359633,95.26187753677368
93,0.0,45.875,63.375,66.718,66.656,10892.0,4480.0,0.9578150243585984,0.8538977751488149,96.542396068573
94,99.7,67.875,64.343,66.656,66.5,17040.0,9101.0,0.9380269847111588,0.8538977751488149,97.40462398529053
95,0.0,41.375,63.218,66.437,66.562,12600.0,5511.0,0.9378251295902391,0.8538825163561145,98.33883261680603
96,99.8,38.5,64.75,66.687,66.718,12961.0,5990.0,0.9339699213413759,0.855934823974329,99.62104344367981
97,99.8,71.375,64.25,66.906,66.687,16560.0,8743.0,0.9363589977107284,0.855934823974329,100.53327822685242
98,4.1,54.25,63.437,66.781,66.718,12720.0,5830.0,0.9364123932556936,0.855934823974329,101.34074354171753
99,0.0,41.5,62.906,66.25,66.593,9887.0,3926.0,0.9550122572717122,0.8581652303135944,102.72836637496948
100,99.9,67.875,64.875,67.031,67.187,18729.0,10158.0,0.9344392532109062,0.8581652303135944,103.31937766075134
101,0.6,44.5,63.312,67.031,67.0,13282.0,6269.0,0.9352127400772239,0.8581652303135944,104.31677460670471
102,0.0,47.875,63.0,66.781,66.718,9806.0,3806.0,0.9520236038250173,0.8602590227744633,105.5526442527771
103,99.8,67.75,65.906,67.156,67.125,18330.0,10118.0,0.9318745204693318,0.8602285051890624,106.2692518234253
104,6.5,35.5,63.843,66.718,66.906,12800.0,5750.0,0.9327770049840001,0.8602132463963619,107.30132174491882
105,0.0,45.75,63.25,66.906,66.875,10088.0,4006.0,0.9534568001347364,0.862588372847646,108.65473175048828
106,99.4,59.125,65.843,67.093,67.0,18570.0,9800.0,0.9288945999388696,0.8625731140549455,109.3651442527771
107,0.0,36.25,63.718,66.875,67.031,13081.0,5830.0,0.9279966066382639,0.8625731140549455,110.47970700263977
108,0.0,43.375,63.281,66.468,66.937,10168.0,4086.0,0.9487744599626979,0.8645112191465424,111.65700078010559
109,99.4,54.25,64.75,67.281,67.031,17240.0,8703.0,0.9270399780429535,0.8644807015611414,112.44303059577942
110,0.0,38.875,63.562,66.937,67.187,12961.0,5750.0,0.9268343802436484,0.8644807015611414,113.48011493682861
111,0.0,43.75,63.281,67.031,67.093,10449.0,4246.0,0.9486065384591393,0.8656453765977327,114.39054584503174
112,99.8,50.5,64.468,66.531,67.187,14463.0,6459.0,0.9251419410777666,0.8656453765977327,115.7221212387085
113,0.0,36.5,63.781,67.312,67.218,12840.0,5870.0,0.9258353346266367,0.8656301178050322,116.32001638412476
114,0.0,48.75,65.5,67.5,67.5,13782.0,6499.0,0.9237848458952175,0.8656143821750598,117.59409689903259
115,99.7,48.5,65.062,67.125,67.156,15624.0,7762.0,0.9253320691397454,0.8656143821750598,118.68969130516052
116,15.4,64.875,63.812,67.406,67.312,12680.0,5870.0,0.9261447293731637,0.8656143821750598,119.39574241638184
117,99.8,44.25,65.156,67.375,67.625,13402.0,6339.0,0.9244043839239487,0.8655686057969584,120.42514395713806
118,99.8,44.875,64.031,67.187,67.187,12078.0,5191.0,0.9248390336404408,0.8655533470042579,121.92559123039246
119,0.0,65.625,63.75,67.468,67.531,11918.0,4880.0,0.9255648637353178,0.8655533470042579,122.42294216156006
120,99.7,54.0,65.781,67.5,67.343,15720.0,7881.0,0.9210180085208312,0.8655380882115574,123.5398941040039
121,99.8,39.25,64.562,66.937,67.218,13081.0,5591.0,0.9219319705825479,0.8655380882115574,124.68870449066162
122,0.0,46.25,63.5,67.156,67.25,10248.0,4046.0,0.9449486941171333,0.8655075706261565,125.70482778549194
123,99.6,60.0,66.75,68.031,68.031,19448.0,10537.0,0.9175952043814288,0.8655075706261565,126.40804314613342
124,0.2,48.0,64.343,67.687,67.656,14222.0,6897.0,0.9173229869068634,0.865492311833456,127.53292632102966
125,0.0,45.375,64.531,67.531,67.593,11133.0,4600.0,0.939663034189367,0.865492311833456,128.64844059944153
126,99.8,56.625,66.062,67.812,67.812,18051.0,9245.0,0.917990431218928,0.8654770530407555,129.4540138244629
127,0.0,53.375,64.187,67.812,67.812,13121.0,6349.0,0.9171954863298672,0.8654770530407555,130.4951024055481
128,0.0,63.5,63.843,67.562,67.5,10731.0,4320.0,0.9390963926818162,0.8654465354553545,131.3638014793396
129,99.8,54.25,65.375,67.187,67.687,14743.0,6937.0,0.9161951931533937,0.8654312766626541,132.68347334861755
130,0.0,44.25,64.343,67.75,67.75,12479.0,5830.0,0.9167366339598161,0.8654312766626541,133.43619298934937
131,0.0,49.25,63.906,67.906,67.656,10168.0,4126.0,0.9393708557634128,0.8654312766626541,134.62499475479126
132,99.6,62.75,65.625,67.687,67.75,16600.0,8624.0,0.9190885330572068,0.8653397239064512,135.62996315956116
