,gpu_usage,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,elapsed_time
78,84.2,21.0,25.0,17.0,17.0,25.0,25.0,43.0,34.0,61.718,64.281,64.5,14863.0,5701.0,0.6317454645985682,78.23811435699463
79,99.2,37.0,26.0,33.0,23.0,29.0,22.0,25.0,22.0,61.843,64.25,64.593,14382.0,5462.0,0.6320935355122157,79.24574947357178
80,71.9,26.0,34.0,20.0,21.0,33.0,32.0,24.0,18.0,61.687,64.281,64.687,14222.0,5342.0,0.6318574960252548,80.23168635368347
81,65.8,18.0,23.0,16.0,40.0,31.0,36.0,24.0,20.0,62.281,64.218,64.718,14142.0,5422.0,0.6318210670980916,81.22387981414795
82,70.7,27.0,22.0,25.0,38.0,33.0,28.0,20.0,32.0,61.875,64.343,64.687,13782.0,5191.0,0.6320583541510513,82.26159930229187
83,99.1,32.0,29.0,22.0,21.0,34.0,32.0,28.0,27.0,62.812,64.843,64.75,14623.0,5701.0,0.6321504245217581,83.25649976730347
84,99.1,47.0,23.0,21.0,13.0,22.0,28.0,19.0,18.0,62.187,64.593,64.843,14102.0,5342.0,0.6318283029808843,84.250727891922
85,59.2,23.0,43.0,14.0,19.0,33.0,20.0,20.0,26.0,62.281,64.406,64.843,13822.0,5191.0,0.6320478745966619,85.26558947563171
86,99.0,23.0,14.0,47.0,19.0,29.0,21.0,23.0,23.0,62.593,65.125,65.125,14342.0,5422.0,0.6325281875061755,86.34056639671326
87,99.0,32.0,23.0,31.0,29.0,33.0,26.0,25.0,19.0,62.812,65.031,65.0,14663.0,5621.0,0.6325503941809529,87.27147936820984
88,99.0,25.0,17.0,19.0,41.0,24.0,31.0,19.0,22.0,62.718,65.0,65.093,14583.0,5582.0,0.631948069316763,88.27325963973999
89,86.6,35.0,23.0,22.0,21.0,30.0,22.0,26.0,21.0,62.468,65.218,65.218,14663.0,5582.0,0.6326946128104068,89.26093053817749
90,86.7,21.0,23.0,36.0,16.0,35.0,27.0,20.0,21.0,62.718,65.093,65.156,14423.0,5462.0,0.6323602651227456,90.23506689071655
91,99.1,28.0,22.0,19.0,37.0,31.0,22.0,32.0,28.0,62.5,65.187,65.187,14382.0,5462.0,0.6328223635686775,91.23768377304077
92,98.3,32.0,27.0,22.0,28.0,31.0,22.0,28.0,28.0,63.187,65.218,65.218,14423.0,5462.0,0.6325726008557304,92.24503064155579
93,86.2,32.0,19.0,37.0,25.0,33.0,19.0,19.0,22.0,62.562,65.25,65.281,14262.0,5342.0,0.6320940345386151,93.27433919906616
94,65.2,30.0,33.0,19.0,23.0,25.0,25.0,22.0,32.0,62.875,65.218,65.375,14182.0,5382.0,0.6330394400524576,94.29792284965515
95,62.7,30.0,37.0,27.0,16.0,23.0,23.0,23.0,26.0,63.156,65.281,65.468,14182.0,5391.0,0.6332635029058308,95.29973840713501
96,78.1,28.0,36.0,28.0,30.0,27.0,21.0,25.0,21.0,63.312,65.343,65.468,14222.0,5462.0,0.6327769521663235,96.2959725856781
97,98.9,43.0,26.0,18.0,30.0,24.0,23.0,21.0,19.0,63.156,65.625,65.625,14262.0,5462.0,0.6333114094401822,97.28363251686096
98,80.9,30.0,32.0,26.0,30.0,25.0,27.0,21.0,16.0,62.718,65.531,65.593,13902.0,5271.0,0.6332892027654047,98.2633204460144
99,59.3,35.0,28.0,30.0,19.0,29.0,22.0,24.0,30.0,63.187,65.812,65.781,13942.0,5271.0,0.6335681585227222,99.28627872467041
100,99.2,52.0,38.0,27.0,40.0,38.0,32.0,26.0,34.0,63.468,66.0,66.0,15184.0,6020.0,0.6335047821699864,100.25011372566223
101,99.1,31.0,32.0,17.0,25.0,27.0,30.0,46.0,28.0,63.875,65.968,65.968,14903.0,6020.0,0.6333515810653415,101.27378010749817
102,53.5,38.0,29.0,22.0,16.0,28.0,47.0,21.0,48.0,63.25,66.031,66.093,14943.0,6419.0,0.6333154016513781,102.25244355201721
103,98.9,28.0,37.0,22.0,30.0,26.0,45.0,39.0,26.0,64.125,66.062,66.156,15600.0,6926.0,0.6331285162647674,103.31614351272583
104,99.1,34.0,39.0,25.0,50.0,33.0,19.0,33.0,33.0,64.0,66.281,66.281,16120.0,7284.0,0.6332764775922176,104.23285388946533
105,99.0,27.0,27.0,37.0,20.0,32.0,24.0,44.0,39.0,64.312,66.562,66.562,15424.0,6767.0,0.6334915579703998,105.28050136566162
106,67.6,23.0,28.0,45.0,27.0,57.0,42.0,27.0,41.0,64.156,66.656,66.656,15680.0,7046.0,0.6330102470080872,106.22439122200012
107,59.5,37.0,20.0,21.0,23.0,28.0,37.0,42.0,48.0,63.687,66.343,66.343,14943.0,6539.0,0.6334266845384654,107.28164672851562
108,52.7,35.0,28.0,20.0,16.0,37.0,49.0,23.0,33.0,63.75,66.437,66.468,15224.0,6578.0,0.6336270436378625,108.24246096611023
109,99.3,33.0,33.0,45.0,21.0,26.0,32.0,30.0,24.0,64.437,66.625,66.687,15840.0,6926.0,0.6336652191574239,109.24471640586853
110,99.3,37.0,28.0,29.0,28.0,32.0,43.0,59.0,29.0,64.437,66.75,66.75,16240.0,7364.0,0.633819168801668,110.29246115684509
111,98.9,33.0,29.0,34.0,26.0,32.0,38.0,50.0,53.0,64.375,67.0,67.0,16319.0,7284.0,0.6338027009304846,111.21105194091797
112,90.5,30.0,22.0,29.0,26.0,36.0,63.0,38.0,37.0,64.781,66.781,66.781,16160.0,7284.0,0.6339219682399638,112.27383708953857
113,93.6,32.0,33.0,40.0,20.0,27.0,23.0,65.0,31.0,64.375,66.968,66.968,16200.0,7284.0,0.6341412903425417,113.26372981071472
114,87.6,32.0,26.0,26.0,34.0,37.0,34.0,32.0,62.0,64.562,67.281,67.281,16200.0,7245.0,0.6337665215165212,114.26481103897095
